ElapsedRealtimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType
403980,407470000000,,,-1168859867133863424,0.0,1.5004241943359375E7,-0.9765624737812494,316.8858904382445,1,6,0.0,15,386674533352470,14,30.1,495.8109436035156,0.04530000314116478,0,0.0,0.0,,,,,0,,1
403981,407470000000,,,-1168859867133863424,0.0,1.5004241943359375E7,-0.9765624737812494,316.8858904382445,1,16,0.0,15,386674525256158,24,25.1,-86.21656799316406,0.38929998874664307,0,0.0,0.0,,,,,0,,1
403983,407470000000,,,-1168859867133863424,0.0,1.5004241943359375E7,-0.9765624737812494,316.8858904382445,1,30,0.0,15,386674528850146,16,29.0,-666.2363891601562,0.038700003176927567,0,0.0,0.0,,,,,0,,1
404987,408470000000,,,-1168859867133864960,0.0,1.5003610610961914E7,-2.9296873219339012,316.8858904382445,1,2,0.0,15,386675533997051,53,19.1,-41.579166412353516,1.0160000324249268,0,0.0,0.0,,,,,0,,1
404989,408470000000,,,-1168859867133864960,0.0,1.5003610610961914E7,-2.9296873219339012,316.8858904382445,1,5,0.0,15,386675529235083,79,17.5,-587.845703125,2.5900001525878906,0,0.0,0.0,,,,,0,,1
404990,408470000000,,,-1168859867133864960,0.0,1.5003610610961914E7,-2.9296873219339012,316.8858904382445,1,6,0.0,15,386675533350839,13,31.6,494.8468322753906,0.044700004160404205,0,0.0,0.0,,,,,0,,1
404991,408470000000,,,-1168859867133864960,0.0,1.5003610610961914E7,-2.9296873219339012,316.8858904382445,1,16,0.0,15,386675525256494,27,24.4,-87.097412109375,0.6739999651908875,0,0.0,0.0,,,,,0,,1
404992,408470000000,,,-1168859867133864960,0.0,1.5003610610961914E7,-2.9296873219339012,316.8858904382445,1,30,0.0,15,386675528852368,16,29.7,-667.0767822265625,0.038700003176927567,0,0.0,0.0,,,,,0,,1
405954,409470000000,,,-1168859867133864960,0.0,1.5003924369812012E7,-1.9531249475624988,316.8858904382445,1,2,0.0,15,386676533997130,53,19.6,-41.151004791259766,0.9359999895095825,0,0.0,0.0,,,,,0,,1
405955,409470000000,,,-1168859867133864960,0.0,1.5003924369812012E7,-1.9531249475624988,316.8858904382445,1,5,0.0,15,386676529236996,64,18.3,-588.3499755859375,1.8399999141693115,0,0.0,0.0,,,,,0,,1
405955,409470000000,,,-1168859867133864960,0.0,1.5003924369812012E7,-1.9531249475624988,316.8858904382445,1,6,0.0,15,386676533349146,14,30.7,495.19012451171875,0.04530000314116478,0,0.0,0.0,,,,,0,,1
405956,409470000000,,,-1168859867133864960,0.0,1.5003924369812012E7,-1.9531249475624988,316.8858904382445,1,16,0.0,15,386676525256675,35,22.3,-86.67876434326172,0.793999969959259,0,0.0,0.0,,,,,0,,1
405958,409470000000,,,-1168859867133864960,0.0,1.5003924369812012E7,-1.9531249475624988,316.8858904382445,1,30,0.0,15,386676528854601,17,28.4,-666.6856079101562,0.04529999941587448,0,0.0,0.0,,,,,0,,1
406952,410470000000,,,-1168859867133862400,0.0,1.5003908157348633E7,0.9765624737812494,316.8858904382445,1,2,0.0,15,386677533997314,53,19.5,-39.99972915649414,0.9359999895095825,0,0.0,0.0,,,,,0,,1
406953,410470000000,,,-1168859867133862400,0.0,1.5003908157348633E7,0.9765624737812494,316.8858904382445,1,5,0.0,15,386677529238981,46,20.1,-589.3489990234375,0.9299999475479126,0,0.0,0.0,,,,,0,,1
406953,410470000000,,,-1168859867133862400,0.0,1.5003908157348633E7,0.9765624737812494,316.8858904382445,1,6,0.0,15,386677533347522,14,30.5,495.3360595703125,0.04530000314116478,0,0.0,0.0,,,,,0,,1
406954,410470000000,,,-1168859867133862400,0.0,1.5003908157348633E7,0.9765624737812494,316.8858904382445,1,16,0.0,15,386677525257043,35,22.1,-86.66925048828125,0.793999969959259,0,0.0,0.0,,,,,0,,1
406955,410470000000,,,-1168859867133862400,0.0,1.5003908157348633E7,0.9765624737812494,316.8858904382445,1,30,0.0,15,386677528856844,19,27.6,-666.716796875,0.053300000727176666,0,0.0,0.0,,,,,0,,1
407975,411470000000,,,-1168859867133862400,0.0,1.500422191619873E7,-3.9062498951249975,316.8858904382445,1,2,0.0,15,386678533997511,40,21.4,-41.445960998535156,0.8659999966621399,0,0.0,0.0,,,,,0,,1
407977,411470000000,,,-1168859867133862400,0.0,1.500422191619873E7,-3.9062498951249975,316.8858904382445,1,5,0.0,15,386678529240891,46,20.4,-588.5783081054688,0.9299999475479126,0,0.0,0.0,,,,,0,,1
407979,411470000000,,,-1168859867133862400,0.0,1.500422191619873E7,-3.9062498951249975,316.8858904382445,1,6,0.0,15,386678533345897,13,31.4,493.344970703125,0.044700004160404205,0,0.0,0.0,,,,,0,,1
407981,411470000000,,,-1168859867133862400,0.0,1.500422191619873E7,-3.9062498951249975,316.8858904382445,1,16,0.0,15,386678525257313,31,23.2,-87.72537994384766,0.7339999675750732,0,0.0,0.0,,,,,0,,1
407983,411470000000,,,-1168859867133862400,0.0,1.500422191619873E7,-3.9062498951249975,316.8858904382445,1,30,0.0,15,386678528859026,40,21.8,-667.2838134765625,0.7985000014305115,0,0.0,0.0,,,,,0,,1
408992,412470000000,,,-1168859867133862400,0.0,1.5004535675048828E7,0.0,316.8858904382445,1,2,0.0,15,386679533997547,40,21.9,-40.74187469482422,0.8059999942779541,0,0.0,0.0,,,,,0,,1
408994,412470000000,,,-1168859867133862400,0.0,1.5004535675048828E7,0.0,316.8858904382445,1,5,0.0,15,386679529242760,46,20.2,-589.7486572265625,0.9299999475479126,0,0.0,0.0,,,,,0,,1
408997,412470000000,,,-1168859867133862400,0.0,1.5004535675048828E7,0.0,316.8858904382445,1,6,0.0,15,386679533344249,13,31.2,494.9778137207031,0.044700004160404205,0,0.0,0.0,,,,,0,,1
408998,412470000000,,,-1168859867133862400,0.0,1.5004535675048828E7,0.0,316.8858904382445,1,16,0.0,15,386679525257683,27,24.6,-86.20303344726562,0.6240000128746033,0,0.0,0.0,,,,,0,,1
409000,412470000000,,,-1168859867133862400,0.0,1.5004535675048828E7,0.0,316.8858904382445,1,30,0.0,15,386679528861265,21,26.3,-667.093505859375,0.5885000228881836,0,0.0,0.0,,,,,0,,1
410012,413470000000,,,-1168859867133864960,0.0,1.5003896713256836E7,0.9765624737812494,316.8858904382445,1,2,0.0,15,386680533997693,35,22.9,-41.42692947387695,0.7459999918937683,0,0.0,0.0,,,,,0,,1
410013,413470000000,,,-1168859867133864960,0.0,1.5003896713256836E7,0.9765624737812494,316.8858904382445,1,5,0.0,15,386680529244799,40,21.2,-589.7486572265625,0.8600000143051147,0,0.0,0.0,,,,,0,,1
410014,413470000000,,,-1168859867133864960,0.0,1.5003896713256836E7,0.9765624737812494,316.8858904382445,1,6,0.0,15,386680533342580,13,31.2,494.19976806640625,0.044700004160404205,0,0.0,0.0,,,,,0,,1
410016,413470000000,,,-1168859867133864960,0.0,1.5003896713256836E7,0.9765624737812494,316.8858904382445,1,16,0.0,15,386680525257955,27,24.9,-87.2306137084961,0.6240000128746033,0,0.0,0.0,,,,,0,,1
410017,413470000000,,,-1168859867133864960,0.0,1.5003896713256836E7,0.9765624737812494,316.8858904382445,1,30,0.0,15,386680528863485,14,30.3,-668.0324096679688,0.037800002843141556,0,0.0,0.0,,,,,0,,1
410987,414470000000,,,-1168859867133864960,0.0,1.5004210472106934E7,3.9062498951249975,316.8858904382445,1,2,0.0,15,386681533997840,35,22.2,-40.08536148071289,0.8059999942779541,0,0.0,0.0,,,,,0,,1
410988,414470000000,,,-1168859867133864960,0.0,1.5004210472106934E7,3.9062498951249975,316.8858904382445,1,5,0.0,15,386681529246699,61,18.8,-589.0540771484375,1.0099999904632568,0,0.0,0.0,,,,,0,,1
