ElapsedRealtimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType
11172000,11175806000000,,,-1170854147588143616,0.0,58.86323197046295,6.11173369803846,10.768012597521672,1522,10,0.0,15,577323316530312,10,34.3,142.8349151611328,0.04609999805688858,0,0.0,0.0,,,,,0,,1
11172000,11175806000000,,,-1170854147588143616,0.0,58.86323197046295,6.11173369803846,10.768012597521672,1522,12,0.0,15,577323324207350,7,37.7,-459.7097473144531,0.026600001379847527,0,0.0,0.0,,,,,0,,1
11172000,11175806000000,,,-1170854147588143616,0.0,58.86323197046295,6.11173369803846,10.768012597521672,1522,13,0.0,15,577323313468025,17,28.2,732.4951782226562,0.052799999713897705,0,0.0,0.0,,,,,0,,1
11172001,11175806000000,,,-1170854147588143616,0.0,58.86323197046295,6.11173369803846,10.768012597521672,1522,15,0.0,15,577323319966743,6,38.2,581.640380859375,0.01860000006854534,0,0.0,0.0,,,,,0,,1
11172001,11175806000000,,,-1170854147588143616,0.0,58.86323197046295,6.11173369803846,10.768012597521672,1522,17,0.0,15,577323317792622,16,29.4,159.93453979492188,0.05220000445842743,0,0.0,0.0,,,,,0,,1
11172001,11175806000000,,,-1170854147588143616,0.0,58.86323197046295,6.11173369803846,10.768012597521672,1522,18,0.0,15,577323315726743,12,32.9,362.4809265136719,0.04639999940991402,0,0.0,0.0,,,,,0,,1
11172002,11175806000000,,,-1170854147588143616,0.0,58.86323197046295,6.11173369803846,10.768012597521672,1522,19,0.0,15,577323320703172,21,26.7,-122.20790100097656,0.1112000048160553,0,0.0,0.0,,,,,0,,1
11172002,11175806000000,,,-1170854147588143616,0.0,58.86323197046295,6.11173369803846,10.768012597521672,1522,24,0.0,15,577323326869801,13,31.3,-24.313261032104492,0.03420000150799751,0,0.0,0.0,,,,,0,,1
11172003,11175806000000,,,-1170854147588143616,0.0,58.86323197046295,6.11173369803846,10.768012597521672,1522,25,0.0,15,577323312568827,27,24.8,-712.6402587890625,0.6345000267028809,0,0.0,0.0,,,,,0,,1
11172003,11175806000000,,,-1170854147588143616,0.0,58.86323197046295,6.11173369803846,10.768012597521672,1522,32,0.0,15,577323313419225,13,31.7,-643.0517578125,0.044700004160404205,0,0.0,0.0,,,,,0,,1
11173003,11176806000000,,,-1170854147588143616,0.0,51.58879139344208,2.4604869601951718,4.640605147723176,1522,10,0.0,15,577324316529844,9,35.1,140.33343505859375,0.04560000076889992,0,0.0,0.0,,,,,0,,1
11173003,11176806000000,,,-1170854147588143616,0.0,51.58879139344208,2.4604869601951718,4.640605147723176,1522,12,0.0,15,577324324208896,6,38.1,-462.37152099609375,0.026100000366568565,0,0.0,0.0,,,,,0,,1
